crashYear,total_records_n,issue_rows_n,distinct_issue_records_n,error_issue_rows_n,warning_issue_rows_n,error_record_n,warning_record_n,records_without_issue_n,distinct_issue_records_pct,error_record_pct,warning_record_pct
2000,31996,134,134,0,134,0,134,31862,0.4188,0,0.4188
2001,36125,151,151,0,151,0,151,35974,0.418,0,0.418
2002,38045,144,144,0,144,0,144,37901,0.3785,0,0.3785
2003,37950,131,131,0,131,0,131,37819,0.3452,0,0.3452
2004,37051,146,146,0,146,0,146,36905,0.3941,0,0.3941
2005,38364,174,172,3,171,1,171,38192,0.4483,0.0026,0.4457
2006,39778,124,124,0,124,0,124,39654,0.3117,0,0.3117
2007,41661,159,159,0,159,0,159,41502,0.3817,0,0.3817
2008,39535,149,149,0,149,0,149,39386,0.3769,0,0.3769
2009,38247,157,157,0,157,0,157,38090,0.4105,0,0.4105
2010,36870,220,220,0,220,0,220,36650,0.5967,0,0.5967
2011,32450,194,193,0,194,0,193,32257,0.5948,0,0.5948
2012,30443,138,137,0,138,0,137,30306,0.45,0,0.45
2013,30109,102,101,0,102,0,101,30008,0.3354,0,0.3354
2014,29784,124,124,0,124,0,124,29660,0.4163,0,0.4163
2015,32104,561,560,0,561,0,560,31544,1.7443,0,1.7443
2016,37250,293,288,0,293,0,288,36962,0.7732,0,0.7732
2017,39314,264,256,0,264,0,256,39058,0.6512,0,0.6512
2018,38470,544,525,5,539,1,525,37945,1.3647,0.0026,1.3647
2019,36930,832,715,0,832,0,715,36215,1.9361,0,1.9361
2020,32819,559,365,0,559,0,365,32454,1.1122,0,1.1122
2021,34154,805,420,0,805,0,420,33734,1.2297,0,1.2297
2022,31251,810,392,0,810,0,392,30859,1.2544,0,1.2544
2023,31505,740,384,15,725,3,384,31121,1.2189,0.0095,1.2189
2024,29332,739,366,3,736,1,366,28966,1.2478,0.0034,1.2478
2025,28987,734,407,0,734,0,407,28580,1.4041,0,1.4041
2026,2940,96,56,0,96,0,56,2884,1.9048,0,1.9048
