column_name,missing_count,total_rows,missing_pct
region,3474,913464,0.38
NumberOfLanes,2268,913464,0.25
crashLocation2,1906,913464,0.21
speedLimit,1421,913464,0.16
directionRoleDescription,73,913464,0.01
OBJECTID,0,913464,0
X,0,913464,0
Y,0,913464,0
areaUnitID,4,913464,0
crashDirectionDescription,0,913464,0
crashFinancialYear,0,913464,0
crashLocation1,0,913464,0
crashSHDescription,3,913464,0
crashSeverity,0,913464,0
crashYear,0,913464,0
fatalCount,1,913464,0
flatHill,0,913464,0
light,0,913464,0
meshblockId,4,913464,0
minorInjuryCount,1,913464,0
roadCharacter,0,913464,0
roadLane,0,913464,0
roadSurface,0,913464,0
seriousInjuryCount,1,913464,0
streetLight,0,913464,0
tlaId,5,913464,0
tlaName,5,913464,0
trafficControl,0,913464,0
urban,0,913464,0
weatherA,0,913464,0
weatherB,0,913464,0
