column_name,data_type,missing_count,total_rows,missing_pct
crashRoadSideRoad,logical,913464,913464,100
intersection,logical,913464,913464,100
temporarySpeedLimit,integer,897788,913464,98.28
pedestrian,integer,883236,913464,96.69
advisorySpeed,integer,877345,913464,96.05
holiday,character,863013,913464,94.48
bridge,integer,536773,913464,58.76
cliffBank,integer,536773,913464,58.76
debris,integer,536773,913464,58.76
ditch,integer,536773,913464,58.76
fence,integer,536773,913464,58.76
guardRail,integer,536773,913464,58.76
houseOrBuilding,integer,536773,913464,58.76
kerb,integer,536773,913464,58.76
objectThrownOrDropped,integer,536773,913464,58.76
otherObject,integer,536773,913464,58.76
overBank,integer,536773,913464,58.76
parkedVehicle,integer,536773,913464,58.76
phoneBoxEtc,integer,536773,913464,58.76
postOrPole,integer,536773,913464,58.76
roadworks,integer,536773,913464,58.76
slipOrFlood,integer,536773,913464,58.76
strayAnimal,integer,536773,913464,58.76
trafficIsland,integer,536773,913464,58.76
trafficSign,integer,536773,913464,58.76
train,integer,536773,913464,58.76
tree,integer,536773,913464,58.76
vehicle,integer,536773,913464,58.76
waterRiver,integer,536773,913464,58.76
region,character,3474,913464,0.38
NumberOfLanes,integer,2268,913464,0.25
crashLocation2,character,1906,913464,0.21
speedLimit,integer,1421,913464,0.16
directionRoleDescription,character,73,913464,0.01
X,numeric,0,913464,0
Y,numeric,0,913464,0
OBJECTID,integer,0,913464,0
areaUnitID,integer,4,913464,0
bicycle,integer,5,913464,0
bus,integer,5,913464,0
carStationWagon,integer,5,913464,0
crashDirectionDescription,character,0,913464,0
crashFinancialYear,character,0,913464,0
crashLocation1,character,0,913464,0
crashSeverity,character,0,913464,0
crashSHDescription,character,3,913464,0
crashYear,integer,0,913464,0
fatalCount,integer,1,913464,0
flatHill,character,0,913464,0
light,character,0,913464,0
meshblockId,integer,4,913464,0
minorInjuryCount,integer,1,913464,0
moped,integer,5,913464,0
motorcycle,integer,5,913464,0
otherVehicleType,integer,5,913464,0
roadCharacter,character,0,913464,0
roadLane,character,0,913464,0
roadSurface,character,0,913464,0
schoolBus,integer,5,913464,0
seriousInjuryCount,integer,1,913464,0
streetLight,character,0,913464,0
suv,integer,5,913464,0
taxi,integer,5,913464,0
tlaId,integer,5,913464,0
tlaName,character,5,913464,0
trafficControl,character,0,913464,0
truck,integer,5,913464,0
unknownVehicleType,integer,5,913464,0
urban,character,0,913464,0
vanOrUtility,integer,5,913464,0
weatherA,character,0,913464,0
weatherB,character,0,913464,0
